0.152744,26.271962,48235447
0.120454,15.899904,48335787
0.090890,6.089660,4839057
0.205541,18.909730,48463035
0.118389,6.629805,48653568
0.084364,3.627648,4876706
0.094672,19.313089,48817700
0.102879,12.036838,48832135
0.187377,22.860033,4888614
0.102284,7.159893,48917226
0.121794,10.717861,4897885
0.089583,9.047837,4899223
0.095664,8.609747,49193848
0.130324,23.718915,49231240
0.160203,2.883646,49257150
0.050077,8.412863,49872790
0.165758,4.475471,50417859
0.050720,6.999395,50532923
0.132603,47.869810,50779124
0.105420,3.584280,51842518
0.198861,8.352149,52957567
0.112797,41.283665,53030224
0.077830,13.775923,53253762
0.126764,33.846025,53769343
0.092570,9.071847,54621732
0.082560,30.547321,54754225
0.130958,15.060181,5594345
0.093372,19.794959,56677691
0.102367,11.567490,58878500
0.139612,10.610530,60409037
0.135977,11.286069,60606087
0.098611,2.366655,61592048
0.038739,27.698313,62675594
0.133246,6.795560,63406200
0.065313,9.405130,6391762
0.064011,7.041247,63997678
0.115316,11.762207,6788712
0.105730,23.683557,8125605
0.131949,6.729404,89667311
0.092459,53.348706,9945285
0.091704,7.794803,About5
0.151959,105.003492,AdaDream
0.069152,6.984345,adalee
0.065680,6.370995,advender
0.102164,43.317579,aibamoe
0.123419,35.791398,aikaka
0.087348,2.445742,Aimwalker
0.112324,13.928126,airan712
0.117764,11.187616,airmewe
0.069508,21.964439,aixiaoke
0.093171,4.751724,aiyatos
0.093163,19.657330,ajang
0.077172,39.666392,alcohol
0.170606,80.014181,alele
0.100811,21.875969,alienning
0.101839,25.561709,Alienzhao
0.168579,12.137688,aLIYURANfilm
0.085123,5.618096,alleluia
0.064151,24.056520,allwordswrong
0.131442,20.110660,amber
0.090907,20.544941,amberVan
0.096564,6.276691,amigly1988
0.071369,20.126054,amomiaomiao
0.095753,13.788406,amsingapore
0.122835,36.113358,ancylostomiasis
0.049825,19.282385,andyxu3586
0.144339,18.186743,anfernee20
0.150085,6.903932,AngelinaAnne
0.180304,50.124413,angellin
0.079574,7.957358,Angelwh
0.096117,5.959238,angle223
0.073091,4.312360,aniya320
0.071066,81.157670,antonia
0.184274,28.931036,Aragon
0.093894,14.929161,ash7
0.093157,68.563559,asue
0.128346,31.059817,attel
0.157553,6.774776,audair
0.117924,23.702660,austim
0.080292,34.284484,autumnday916
0.090338,20.597005,autumndream
0.167695,5.701615,avivaz
0.056331,7.773664,aya1026
0.085767,77.619185,A_R_C_rops
0.157574,34.193476,B.Y.
0.055801,1.395031,babess
0.072395,6.008781,baizi886
0.113361,4.647815,ballteda
0.071343,31.818895,bambe
0.093587,50.443190,BandOfOutsider
0.071681,30.177773,baoxizhe
0.079935,23.420876,baoziliandemao
0.057192,11.038000,barcelonazhou
0.117893,6.602002,beartt
0.155878,15.120209,beijingzz
0.043910,16.070988,benjune
0.086845,2.257982,bianjing
0.089376,57.379154,bighead
0.142027,60.503293,billy-the-kid
0.153973,10.624143,bloodymilk
0.094306,23.387815,blue-echo
